regulation_ID	iso2	year	legal_form
LT_1	LT	2013	Limited liability enterprise
LT_1	LT	2014	Limited liability enterprise
LT_1	LT	2015	Limited liability enterprise
LT_1	LT	2016	Limited liability enterprise
LT_1	LT	2017	Limited liability enterprise
LT_1	LT	2018	Limited liability enterprise
LT_1	LT	2019	Limited liability enterprise
LT_1	LT	2020	Limited liability enterprise
LT_1	LT	2021	Limited liability enterprise
LT_1	LT	2022	Limited liability enterprise
LT_2	LT	2010	"Partnership, co-operatives, associations, etc."
LT_2	LT	2011	"Partnership, co-operatives, associations, etc."
LT_2	LT	2012	"Partnership, co-operatives, associations, etc."
LT_2	LT	2013	"Partnership, co-operatives, associations, etc."
LT_2	LT	2014	"Partnership, co-operatives, associations, etc."
LT_2	LT	2015	"Partnership, co-operatives, associations, etc."
LT_2	LT	2016	"Partnership, co-operatives, associations, etc."
LT_2	LT	2017	"Partnership, co-operatives, associations, etc."
LT_2	LT	2018	"Partnership, co-operatives, associations, etc."
LT_2	LT	2019	"Partnership, co-operatives, associations, etc."
LT_2	LT	2020	"Partnership, co-operatives, associations, etc."
LT_2	LT	2021	"Partnership, co-operatives, associations, etc."
LT_2	LT	2022	"Partnership, co-operatives, associations, etc."
LT_3	LT	2010	Sole proprietorship
LT_3	LT	2011	Sole proprietorship
LT_3	LT	2012	Sole proprietorship
LT_3	LT	2013	Sole proprietorship
LT_3	LT	2014	Sole proprietorship
LT_3	LT	2015	Sole proprietorship
LT_3	LT	2016	Sole proprietorship
LT_3	LT	2017	Sole proprietorship
LT_3	LT	2018	Sole proprietorship
LT_3	LT	2019	Sole proprietorship
LT_3	LT	2020	Sole proprietorship
LT_3	LT	2021	Sole proprietorship
LT_3	LT	2022	Sole proprietorship
LT_4	LT	2010	Limited liability enterprise
LT_4	LT	2011	Limited liability enterprise
LT_4	LT	2012	Limited liability enterprise
LT_4	LT	2013	Limited liability enterprise
LT_4	LT	2014	Limited liability enterprise
LT_4	LT	2015	Limited liability enterprise
LT_4	LT	2016	Limited liability enterprise
LT_4	LT	2017	Limited liability enterprise
LT_4	LT	2018	Limited liability enterprise
LT_4	LT	2019	Limited liability enterprise
LT_4	LT	2020	Limited liability enterprise
LT_4	LT	2021	Limited liability enterprise
LT_4	LT	2022	Limited liability enterprise
LT_5	LT	2010	"Partnership, co-operatives, associations, etc."
LT_5	LT	2011	"Partnership, co-operatives, associations, etc."
LT_5	LT	2012	"Partnership, co-operatives, associations, etc."
LT_5	LT	2013	"Partnership, co-operatives, associations, etc."
LT_5	LT	2014	"Partnership, co-operatives, associations, etc."
LT_5	LT	2015	"Partnership, co-operatives, associations, etc."
LT_5	LT	2016	"Partnership, co-operatives, associations, etc."
LT_5	LT	2017	"Partnership, co-operatives, associations, etc."
LT_5	LT	2018	"Partnership, co-operatives, associations, etc."
LT_5	LT	2019	"Partnership, co-operatives, associations, etc."
LT_5	LT	2020	"Partnership, co-operatives, associations, etc."
LT_5	LT	2021	"Partnership, co-operatives, associations, etc."
LT_5	LT	2022	"Partnership, co-operatives, associations, etc."
LT_6	LT	2010	Sole proprietorship
LT_6	LT	2011	Sole proprietorship
LT_6	LT	2012	Sole proprietorship
LT_6	LT	2013	Sole proprietorship
LT_6	LT	2014	Sole proprietorship
LT_6	LT	2015	Sole proprietorship
LT_6	LT	2016	Sole proprietorship
LT_6	LT	2017	Sole proprietorship
LT_6	LT	2018	Sole proprietorship
LT_6	LT	2019	Sole proprietorship
LT_6	LT	2020	Sole proprietorship
LT_6	LT	2021	Sole proprietorship
LT_6	LT	2022	Sole proprietorship
NL_1	NL	2010	Limited liability enterprise
NL_1	NL	2011	Limited liability enterprise
NL_1	NL	2012	Limited liability enterprise
NL_1	NL	2013	Limited liability enterprise
NL_1	NL	2014	Limited liability enterprise
NL_1	NL	2015	Limited liability enterprise
